Weapon,Class,Slot,Attachment,Factory Default,Visual Model,Internal Weapon,Internal Attachment
KORD 6P67,Assault Rifle,Scope,A-P2 1.75X,,yes,6p67,acrop2
KORD 6P67,Assault Rifle,Scope,PAS 35 3.00X,,yes,6p67,anpas35
KORD 6P67,Assault Rifle,Scope,Baker 3.00X,,yes,6p67,bravo3
KORD 6P67,Assault Rifle,Scope,BF 2M 2.50X,,,6p67,cod2m
KORD 6P67,Assault Rifle,Scope,CCO 2.00X,yes,yes,6p67,compm5b
KORD 6P67,Assault Rifle,Scope,Mini Flex 1.00X,,yes,6p67,eflxmini
KORD 6P67,Assault Rifle,Scope,Elcandr,,yes,6p67,elcandr
KORD 6P67,Assault Rifle,Scope,LDS 4.50X,,yes,6p67,elcanlds
KORD 6P67,Assault Rifle,Scope,Holosundrsth,,yes,6p67,holosundrsth
KORD 6P67,Assault Rifle,Scope,Iron Sights,,yes,6p67,iron_sights
KORD 6P67,Assault Rifle,Scope,Marchffpshorty,,yes,6p67,marchffpshorty
KORD 6P67,Assault Rifle,Scope,RO-M 1.75X,,yes,6p67,meprom22
KORD 6P67,Assault Rifle,Scope,Osa-7 1.00X,,yes,6p67,opk7
KORD 6P67,Assault Rifle,Scope,Pg350,,yes,6p67,pg350
KORD 6P67,Assault Rifle,Scope,R-MR 1.00X,,yes,6p67,rmr
KORD 6P67,Assault Rifle,Scope,R4T 2.00X,,yes,6p67,romeo4t
KORD 6P67,Assault Rifle,Scope,ROX 1.50X,,yes,6p67,romeox
KORD 6P67,Assault Rifle,Scope,Shieldcqs,,yes,6p67,shieldcqs
KORD 6P67,Assault Rifle,Scope,Spitfire,,yes,6p67,spitfire
KORD 6P67,Assault Rifle,Scope,Steinert536,,yes,6p67,steinert536
KORD 6P67,Assault Rifle,Scope,S-VPS 6.00X,,yes,6p67,tango6t
KORD 6P67,Assault Rifle,Scope,RO-M 1.75X,,yes,6p67,trijiconmro
KORD 6P67,Assault Rifle,Scope,Trijiconrco,,yes,6p67,trijiconrco
KORD 6P67,Assault Rifle,Scope,Trijiconreapir,,yes,6p67,trijiconreapir
KORD 6P67,Assault Rifle,Scope,SDO 3.50X,,yes,6p67,trijiconsdo
